name,val,date
Ohio Union North,49.0,2019-09-11 08:16:08
Ohio Union South,7.0,2019-09-11 08:16:08
Gateway,50.0,2019-09-11 08:16:08
11th Avenue,70.0,2019-09-11 08:16:08
Neil Avenue,99.0,2019-09-11 08:16:08
Tuttle,37.0,2019-09-11 08:16:08
Northwest,39.0,2019-09-11 08:16:08
Arps Hall,34.0,2019-09-11 08:16:08
Lane Avenue,50.0,2019-09-11 08:16:08
West Lane Avenue,53.0,2019-09-11 08:16:08
Carmack Lot - 1,68.0,2019-09-11 08:16:08
Carmack Lot - 2/3,56.0,2019-09-11 08:16:08
Carmack Lot - 4,93.0,2019-09-11 08:16:08
Carmack Lot - 5,37.0,2019-09-11 08:16:08
Buckeye Lot,47.0,2019-09-11 08:16:08
SAFEAUTO,78.0,2019-09-11 10:46:12
12th Avenue,88.0,2019-09-11 10:46:12
9th Avenue East,99.0,2019-09-11 10:46:12
9th Avenue West,100.0,2019-09-11 10:46:12
North Cannon,92.0,2019-09-11 10:46:12
South Cannon,78.0,2019-09-11 10:46:12
Ohio Union North,98.0,2019-09-11 10:46:12
Ohio Union South,22.0,2019-09-11 10:46:12
Gateway,68.0,2019-09-11 10:46:12
11th Avenue,100.0,2019-09-11 10:46:12
Neil Avenue,99.0,2019-09-11 10:46:12
Tuttle,92.0,2019-09-11 10:46:12
Northwest,98.0,2019-09-11 10:46:12
Arps Hall,76.0,2019-09-11 10:46:12
Lane Avenue,75.0,2019-09-11 10:46:12
West Lane Avenue,55.0,2019-09-11 10:46:12
Carmack Lot - 1,88.0,2019-09-11 10:46:12
Carmack Lot - 2/3,69.0,2019-09-11 10:46:12
Carmack Lot - 4,93.0,2019-09-11 10:46:12
Carmack Lot - 5,92.0,2019-09-11 10:46:12
Buckeye Lot,89.0,2019-09-11 10:46:12
SAFEAUTO,84.0,2019-09-11 13:46:16
12th Avenue,94.0,2019-09-11 13:46:16
9th Avenue East,98.0,2019-09-11 13:46:16
9th Avenue West,100.0,2019-09-11 13:46:16
North Cannon,93.0,2019-09-11 13:46:16
South Cannon,81.0,2019-09-11 13:46:16
Ohio Union North,100.0,2019-09-11 13:46:16
Ohio Union South,26.0,2019-09-11 13:46:16
Gateway,68.0,2019-09-11 13:46:16
11th Avenue,99.0,2019-09-11 13:46:16
Neil Avenue,98.0,2019-09-11 13:46:16
Tuttle,100.0,2019-09-11 13:46:16
Northwest,96.0,2019-09-11 13:46:16
Arps Hall,80.0,2019-09-11 13:46:16
Lane Avenue,81.0,2019-09-11 13:46:16
West Lane Avenue,53.0,2019-09-11 13:46:16
Carmack Lot - 1,87.0,2019-09-11 13:46:16
Carmack Lot - 2/3,68.0,2019-09-11 13:46:16
Carmack Lot - 4,92.0,2019-09-11 13:46:16
Carmack Lot - 5,97.0,2019-09-11 13:46:16
Buckeye Lot,92.0,2019-09-11 13:46:16
SAFEAUTO,72.0,2019-09-11 10:16:11
12th Avenue,87.0,2019-09-11 10:16:11
9th Avenue East,99.0,2019-09-11 10:16:11
9th Avenue West,100.0,2019-09-11 10:16:11
North Cannon,89.0,2019-09-11 10:16:11
South Cannon,76.0,2019-09-11 10:16:11
Ohio Union North,94.0,2019-09-11 10:16:11
Ohio Union South,20.0,2019-09-11 10:16:11
Gateway,68.0,2019-09-11 10:16:11
11th Avenue,100.0,2019-09-11 10:16:11
Neil Avenue,99.0,2019-09-11 10:16:11
Tuttle,86.0,2019-09-11 10:16:11
Northwest,93.0,2019-09-11 10:16:11
Arps Hall,72.0,2019-09-11 10:16:11
Lane Avenue,75.0,2019-09-11 10:16:11
West Lane Avenue,54.0,2019-09-11 10:16:11
Carmack Lot - 1,88.0,2019-09-11 10:16:11
Carmack Lot - 2/3,69.0,2019-09-11 10:16:11
Carmack Lot - 4,92.0,2019-09-11 10:16:11
Carmack Lot - 5,85.0,2019-09-11 10:16:11
Buckeye Lot,87.0,2019-09-11 10:16:11
SAFEAUTO,51.0,2019-09-11 08:46:09
12th Avenue,67.0,2019-09-11 08:46:09
9th Avenue East,99.0,2019-09-11 08:46:09
9th Avenue West,100.0,2019-09-11 08:46:09
North Cannon,72.0,2019-09-11 08:46:09
South Cannon,55.0,2019-09-11 08:46:09
Ohio Union North,64.0,2019-09-11 08:46:09
Ohio Union South,10.0,2019-09-11 08:46:09
Gateway,57.0,2019-09-11 08:46:09
11th Avenue,89.0,2019-09-11 08:46:09
Neil Avenue,98.0,2019-09-11 08:46:09
Tuttle,48.0,2019-09-11 08:46:09
Northwest,53.0,2019-09-11 08:46:09
Arps Hall,45.0,2019-09-11 08:46:09
Lane Avenue,61.0,2019-09-11 08:46:09
West Lane Avenue,53.0,2019-09-11 08:46:09
Carmack Lot - 1,78.0,2019-09-11 08:46:09
Carmack Lot - 2/3,64.0,2019-09-11 08:46:09
Carmack Lot - 4,93.0,2019-09-11 08:46:09
Carmack Lot - 5,48.0,2019-09-11 08:46:09
Buckeye Lot,62.0,2019-09-11 08:46:09
SAFEAUTO,83.0,2019-09-11 14:16:17
12th Avenue,90.0,2019-09-11 14:16:17
