name,val,date
12th Avenue,69.0,2019-09-12 20:48:38
9th Avenue East,12.0,2019-09-12 20:48:38
9th Avenue West,15.0,2019-09-12 20:48:38
North Cannon,46.0,2019-09-12 20:48:38
South Cannon,30.0,2019-09-12 20:48:38
Ohio Union North,2.0,2019-09-12 20:48:38
Ohio Union South,8.0,2019-09-12 20:48:38
Gateway,43.0,2019-09-12 20:48:38
11th Avenue,15.0,2019-09-12 20:48:38
Neil Avenue,11.0,2019-09-12 20:48:38
Tuttle,12.0,2019-09-12 20:48:38
Northwest,4.0,2019-09-12 20:48:38
Arps Hall,14.0,2019-09-12 20:48:38
Lane Avenue,29.0,2019-09-12 20:48:38
West Lane Avenue,50.0,2019-09-12 20:48:38
Carmack Lot - 1,2.0,2019-09-12 20:48:38
Carmack Lot - 2/3,0.0,2019-09-12 20:48:38
Carmack Lot - 4,7.0,2019-09-12 20:48:38
Carmack Lot - 5,25.0,2019-09-12 20:48:38
Buckeye Lot,4.0,2019-09-12 20:48:38
SAFEAUTO,21.0,2019-09-17 06:46:44
12th Avenue,64.0,2019-09-17 06:46:44
9th Avenue East,51.0,2019-09-17 06:46:44
9th Avenue West,48.0,2019-09-17 06:46:44
North Cannon,54.0,2019-09-17 06:46:44
South Cannon,26.0,2019-09-17 06:46:44
Ohio Union North,8.0,2019-09-17 06:46:44
Ohio Union South,12.0,2019-09-17 06:46:44
Gateway,33.0,2019-09-17 06:46:44
11th Avenue,24.0,2019-09-17 06:46:44
Neil Avenue,46.0,2019-09-17 06:46:44
Tuttle,12.0,2019-09-17 06:46:44
Northwest,5.0,2019-09-17 06:46:44
Arps Hall,14.0,2019-09-17 06:46:44
Lane Avenue,27.0,2019-09-17 06:46:44
West Lane Avenue,56.0,2019-09-17 06:46:44
Carmack Lot - 1,34.0,2019-09-17 06:46:44
Carmack Lot - 2/3,37.0,2019-09-17 06:46:44
Carmack Lot - 4,56.0,2019-09-17 06:46:44
Carmack Lot - 5,18.0,2019-09-17 06:46:44
Buckeye Lot,7.0,2019-09-17 06:46:44
SAFEAUTO,39.0,2019-09-17 07:47:06
12th Avenue,58.0,2019-09-17 07:47:06
9th Avenue East,89.0,2019-09-17 07:47:06
9th Avenue West,75.0,2019-09-17 07:47:06
North Cannon,60.0,2019-09-17 07:47:06
South Cannon,40.0,2019-09-17 07:47:06
Ohio Union North,17.0,2019-09-17 07:47:06
Ohio Union South,15.0,2019-09-17 07:47:06
Gateway,38.0,2019-09-17 07:47:06
11th Avenue,50.0,2019-09-17 07:47:06
Neil Avenue,87.0,2019-09-17 07:47:06
Tuttle,29.0,2019-09-17 07:47:06
Northwest,25.0,2019-09-17 07:47:06
Arps Hall,27.0,2019-09-17 07:47:06
Lane Avenue,38.0,2019-09-17 07:47:06
West Lane Avenue,56.0,2019-09-17 07:47:06
Carmack Lot - 1,58.0,2019-09-17 07:47:06
Carmack Lot - 2/3,58.0,2019-09-17 07:47:06
Carmack Lot - 4,99.0,2019-09-17 07:47:06
Carmack Lot - 5,32.0,2019-09-17 07:47:06
Buckeye Lot,35.0,2019-09-17 07:47:06
SAFEAUTO,30.0,2019-09-17 07:16:55
12th Avenue,71.0,2019-09-17 07:16:55
9th Avenue East,73.0,2019-09-17 07:16:55
9th Avenue West,62.0,2019-09-17 07:16:55
North Cannon,65.0,2019-09-17 07:16:55
South Cannon,33.0,2019-09-17 07:16:55
Ohio Union North,12.0,2019-09-17 07:16:55
Ohio Union South,13.0,2019-09-17 07:16:55
Gateway,35.0,2019-09-17 07:16:55
11th Avenue,35.0,2019-09-17 07:16:55
Neil Avenue,67.0,2019-09-17 07:16:55
Tuttle,17.0,2019-09-17 07:16:55
Northwest,13.0,2019-09-17 07:16:55
Arps Hall,20.0,2019-09-17 07:16:55
Lane Avenue,30.0,2019-09-17 07:16:55
West Lane Avenue,56.0,2019-09-17 07:16:55
Carmack Lot - 1,46.0,2019-09-17 07:16:55
Carmack Lot - 2/3,49.0,2019-09-17 07:16:55
Carmack Lot - 4,77.0,2019-09-17 07:16:55
Carmack Lot - 5,23.0,2019-09-17 07:16:55
Buckeye Lot,18.0,2019-09-17 07:16:55
SAFEAUTO,17.0,2019-09-17 06:16:33
12th Avenue,59.0,2019-09-17 06:16:33
9th Avenue East,29.0,2019-09-17 06:16:33
9th Avenue West,29.0,2019-09-17 06:16:33
North Cannon,43.0,2019-09-17 06:16:33
South Cannon,22.0,2019-09-17 06:16:33
Ohio Union North,5.0,2019-09-17 06:16:33
Ohio Union South,11.0,2019-09-17 06:16:33
Gateway,31.0,2019-09-17 06:16:33
11th Avenue,18.0,2019-09-17 06:16:33
Neil Avenue,27.0,2019-09-17 06:16:33
Tuttle,9.0,2019-09-17 06:16:33
Northwest,2.0,2019-09-17 06:16:33
Arps Hall,12.0,2019-09-17 06:16:33
Lane Avenue,25.0,2019-09-17 06:16:33
West Lane Avenue,56.0,2019-09-17 06:16:33
Carmack Lot - 1,16.0,2019-09-17 06:16:33
Carmack Lot - 2/3,21.0,2019-09-17 06:16:33
Carmack Lot - 4,24.0,2019-09-17 06:16:33
Carmack Lot - 5,17.0,2019-09-17 06:16:33
Buckeye Lot,3.0,2019-09-17 06:16:33
